variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_108	21.3011715042265	4664	-0.000288523143841289	1.20765338086624	3734	0	0
ASV_1080	NA	0	0	0	0	0	1
ASV_1081	26.4171979835014	256	-3.020135798234e-05	0.212599788624756	254	0	1
ASV_1082	26.0438798655668	636	-1.90186810428919e-05	0.0681582858641863	621	0	1
ASV_1083	NA	0	0	0	0	0	1
ASV_1084	26.7820790508198	50	0	0.0054425621938318	50	0	1
ASV_1085	NA	0	0	0	0	0	1
ASV_1086	NA	0	0	0	0	0	1
ASV_1087	25.5887548630207	971	-0.000276951425390892	0.306066169373061	939	0	1
ASV_1088	26.8219449434769	26	1.12067479255116e-06	0.00119535620514628	26	0	1
ASV_1089	26.6706928811488	107	4.032859029451e-05	0.139134038443545	106	0	1
ASV_109	16.2443040228129	12402	0.00490082443493367	4.20793676829659	7085	0	0
ASV_1090	26.4796544862002	276	4.88451569656872e-05	0.101028145389482	276	0	1
ASV_1091	26.0435670027498	687	2.17378736270252e-05	0.115786700210624	661	0	1
ASV_1092	26.3992552194725	357	3.91194415045241e-05	0.155937570617364	354	0	1
ASV_1093	NA	0	0	0	0	0	1
ASV_1095	26.8307147571036	20	0	0.000288570091201342	20	0	1
ASV_1096	26.6198280476627	157	9.61033270219195e-06	0.0576675721437951	157	0	1
ASV_1097	26.8116663815052	40	0	0.00100357839601225	40	0	1
ASV_1098	26.6676830023424	136	2.40582927474427e-06	0.0122031450716412	136	0	1
ASV_1099	26.695716162542	104	-9.07142974192748e-07	0.0236179562535361	104	0	1
ASV_11	14.4003686118749	17942	0.00879057048432306	5.48218868728136	8336	11	0
ASV_110	12.9509156533252	18399	0.00437279076824048	4.98924915926456	8463	0	0
ASV_1101	26.5502317954985	250	-6.88808242434717e-06	0.0247900546797768	249	0	1
ASV_1102	NA	0	0	0	0	0	1
ASV_1103	NA	0	0	0	0	0	1
ASV_1104	26.1344410428761	595	-1.60820837668878e-05	0.179041856835558	582	0	1
ASV_1105	26.5662474386394	218	-7.76425494410681e-05	0.140782023097404	217	0	1
ASV_1106	NA	0	0	0	0	0	1
ASV_1107	NA	0	0	0	0	0	1
ASV_1108	26.2707930746512	365	-2.88699985642855e-06	0.124125299483405	365	0	1
ASV_1109	26.3559229860475	408	-2.91839006395378e-05	0.0473357702623289	398	0	1
ASV_111	26.6075916081067	130	4.4710502720704e-06	0.0356909407399794	129	0	1
ASV_1110	26.6652349526428	130	1.66467609469677e-05	0.0631742637199272	129	0	1
ASV_1111	26.3462811487932	273	-2.37677581917035e-05	0.296194612572362	272	0	1
ASV_1112	NA	0	0	0	0	0	1
ASV_1113	26.670606416132	162	9.67281611007629e-07	0.0104950137421122	161	0	1
ASV_1114	26.7521296262349	63	0	0.0201763001508516	63	0	1
ASV_1115	23.7585111314798	1385	0.0035849776995453	5.46423114979774	1363	0	1
ASV_1116	26.7395388532437	79	-7.39919377724442e-07	0.00935270943933892	79	0	1
ASV_1117	26.6924647927488	118	4.79898063779964e-07	0.0112321930224775	118	0	1
ASV_1118	26.6563029229046	133	-4.13187126541169e-06	0.0188283471671507	131	0	1
ASV_1119	26.7989661472655	42	6.69504799415597e-09	0.00197772216183276	42	0	1
ASV_112	10.9077886750178	20001	0.068037765545232	16.5078267011822	8804	0	0
ASV_1120	26.6340443629698	107	-1.56206921901186e-05	0.266453761703774	107	0	1
ASV_1121	NA	0	0	0	0	0	1
ASV_1122	26.8313371015378	14	0	0.00624244512878639	14	0	1
ASV_1123	NA	0	0	0	0	0	1
ASV_1124	26.7900755881454	40	3.93232022453207e-07	0.0115193009040076	40	0	1
ASV_1125	26.5270944495366	246	-8.35640322056695e-06	0.0185683590056889	241	0	1
ASV_1126	26.5373462063347	153	6.62981087578358e-05	0.356579142404928	151	0	1
ASV_1127	NA	0	0	0	0	0	1
ASV_1128	NA	0	0	0	0	0	1
ASV_1129	NA	0	0	0	0	0	1
ASV_113	17.5231518280884	10280	0.00498299698287618	2.73516852889473	6498	0	0
ASV_1130	26.7128257052653	77	0	0.0868915430461343	77	0	1
ASV_1131	26.4002089011101	236	-1.57152384232661e-06	0.289772282217183	235	0	1
ASV_1132	26.7459700784194	80	-8.5423371724427e-06	0.00849085641677533	80	0	1
ASV_1133	NA	0	0	0	0	0	1
ASV_1134	26.3052691720134	416	-1.18119721436043e-05	0.0640947883705671	409	0	1
ASV_1135	NA	0	0	0	0	0	1
ASV_1136	26.8077283430085	22	0	0.0065603620644205	22	0	1
ASV_1138	NA	0	0	0	0	0	1
ASV_1139	26.2370607801202	470	-2.4612838255231e-05	0.149633538039681	458	0	1
ASV_114	24.8584921275079	1685	-0.000158159991055458	0.510472223051946	1550	0	1
ASV_1140	NA	0	0	0	0	0	1
ASV_1141	26.7733092371932	56	3.39922884291859e-07	0.0024983221740664	56	0	1
ASV_1142	26.6872633058356	131	1.29153606646908e-06	0.00480350985110539	131	0	1
ASV_1143	NA	0	0	0	0	0	1
ASV_1144	NA	0	0	0	0	0	1
ASV_1145	NA	0	0	0	0	0	1
