variable	node_purity_increase
ASV_24	307.939530922138
ASV_29	268.453518429055
ASV_9	181.534882237743
ASV_23	136.831403429444
ASV_30	121.937118515181
ASV_28	79.1706760145299
ASV_18	46.3724869974331
ASV_25	35.3418987967329
ASV_653	29.4052647381285
ASV_1	29.1573489149825
ASV_15	25.9173616341526
ASV_68	22.0002326225344
ASV_21	21.9012219440321
ASV_757	20.8962471456872
ASV_32	20.7394805085988
ASV_58	20.3730192890649
ASV_380	20.1078442961275
ASV_44	18.9392688475503
counts	18.7707394731094
ASV_79	18.0562193829706
ASV_65	17.2054625983867
ASV_112	16.5078267011822
ASV_16	16.2008851948385
ASV_3	16.0079971713225
ASV_38	15.4228569118629
ASV_738	15.0461399303805
ASV_883	14.828806775674
ASV_92	14.6467453131664
ASV_2	14.190319462305
ASV_80	14.1306674714685
ASV_1058	14.041683038176
ASV_54	12.0101306063933
ASV_5	10.0049123514931
ASV_39	9.79238814742263
ASV_202	9.69246057620331
ASV_42	9.22216428272058
ASV_4	9.2035091526747
ASV_8	9.19101192585252
ASV_41	9.09990211525836
ASV_67	9.02785661995081
ASV_50	8.83380081715013
ASV_53	8.70262849668896
ASV_7	8.63405810296661
ASV_14	8.48033208779213
ASV_419	8.46883501251702
ASV_49	8.19124972757055
ASV_35	7.96568227320668
ASV_10	7.90880438764052
ASV_60	7.80407391820171
ASV_62	7.77813158489456
ASV_172	7.72551753842031
ASV_125	7.51114944149469
ASV_26	7.39341494458125
ASV_373	7.37369868758634
ASV_6	7.28433589624824
ASV_482	7.03518764090185
ASV_84	7.00910332902738
ASV_212	6.80431068433148
ASV_51	6.79124073487439
ASV_19	6.73070932317772
ASV_22	6.61672085655005
ASV_17	6.60248191991971
ASV_45	6.50978655944309
ASV_104	6.28687840702138
ASV_303	6.10734461605261
ASV_27	5.95338270862036
ASV_31	5.83584874903711
ASV_66	5.82065048383478
ASV_34	5.76945157105802
ASV_555	5.72794858075351
ASV_81	5.70545985224094
ASV_304	5.64477454603519
ASV_107	5.55393777957132
ASV_11	5.48218868728136
ASV_1115	5.46423114979774
ASV_519	5.27329286992172
ASV_541	5.1395129666356
ASV_900	5.02829779689037
ASV_110	4.98924915926456
ASV_98	4.95046139482383
ASV_116	4.88993056021101
ASV_302	4.85993770347686
ASV_96	4.85239517976959
ASV_57	4.74429283198408
ASV_117	4.73087978113183
ASV_211	4.67250446661203
ASV_37	4.66288143273538
ASV_103	4.56792481692692
ASV_55	4.55190915960493
ASV_892	4.52294545964222
ASV_145	4.50700202311124
ASV_76	4.50417063762891
ASV_115	4.46648991624877
ASV_138	4.42972867243226
ASV_13	4.39473218708827
ASV_106	4.39045063288685
ASV_284	4.37737363464583
ASV_374	4.37170540786023
ASV_167	4.28964538586258
ASV_52	4.26260853176114
ASV_109	4.20793676829659
ASV_59	4.18586580113598
ASV_250	4.16234464943711
ASV_1076	4.13223681089524
ASV_1050	4.12048746312095
ASV_196	4.11929152767727
ASV_719	4.09921615206705
ASV_63	3.96540232303464
ASV_1242	3.84192750378144
ASV_48	3.75991737407293
ASV_46	3.55975311185801
ASV_83	3.53867172136546
ASV_70	3.4485124599257
ASV_705	3.42191239655261
ASV_255	3.41245285482636
ASV_122	3.34928667798612
ASV_165	3.29493633670648
ASV_247	3.29193293501166
ASV_75	3.24492979046115
ASV_272	3.2438128425233
ASV_130	3.1997317019134
ASV_168	3.18297981744961
ASV_611	3.16441886591215
ASV_69	3.14216675550738
ASV_472	3.1323963045513
ASV_123	3.10872265561868
ASV_91	3.07652055802004
ASV_132	3.06333963556691
ASV_224	3.06153844479063
ASV_153	3.03281152263202
ASV_538	2.96506433942615
ASV_278	2.94772696163293
ASV_87	2.84157032899852
ASV_100	2.80591451881948
ASV_155	2.75991795561683
ASV_292	2.74958834564951
ASV_219	2.73653133404815
ASV_113	2.73516852889473
ASV_124	2.73458171123912
ASV_93	2.71110785336631
ASV_85	2.68722338216537
ASV_157	2.6859120806732
ASV_95	2.58128123513552
ASV_238	2.57289232211336
ASV_160	2.55242317518167
ASV_223	2.54949423887334
ASV_89	2.53135182163802
ASV_86	2.51654667026977
ASV_370	2.49040584533153
ASV_1146	2.42690299554127
ASV_222	2.42432027369433
ASV_1167	2.40882116963534
ASV_396	2.39981862559562
ASV_838	2.37525750641135
ASV_244	2.3535358387514
ASV_140	2.34232511299153
ASV_61	2.32061503864194
ASV_163	2.3160606934046
ASV_175	2.29647503221088
ASV_90	2.28191668252745
ASV_283	2.28121611967452
ASV_144	2.22702408489663
ASV_105	2.16433956261491
ASV_240	2.09379019313911
ASV_455	2.09236187671146
ASV_171	2.07634875069306
ASV_1025	2.06610316007499
ASV_306	2.05127409819312
ASV_1072	1.99151919653701
ASV_173	1.98657385777175
ASV_97	1.97578883043982
ASV_147	1.9739823271468
ASV_131	1.97155099102121
ASV_205	1.96708385501713
ASV_43	1.92524803301916
ASV_142	1.91151261317423
ASV_234	1.90455410067576
ASV_194	1.90176642868686
ASV_1276	1.86103728408098
ASV_443	1.82716727443433
ASV_268	1.81741597605464
ASV_259	1.80793315971956
ASV_169	1.80570065385418
ASV_121	1.79751837925837
ASV_674	1.78553147401682
ASV_156	1.778647729572
ASV_265	1.7578326472235
ASV_516	1.74256492090538
ASV_217	1.73587644096614
ASV_150	1.71459727260752
ASV_685	1.71406473361131
ASV_1001	1.70885617349331
ASV_184	1.69758101183977
ASV_490	1.69501775576915
ASV_517	1.69501376985694
ASV_1264	1.66631935762779
ASV_235	1.66618755096049
ASV_120	1.66523173188162
ASV_699	1.66389200670635
ASV_256	1.66040004815525
