variable	node_purity_increase
155	147.572720525831
36	108.308365266712
161	91.0901961734406
177	84.6455228217676
7	75.2299558628047
43	55.6653496955697
24	51.405491539134
5	50.5445755727037
115	44.5700605259327
49	43.2210263846646
199	42.8912987199658
74	42.268740072063
2	42.0724750322386
counts	41.9789474189258
29	40.8304534566819
69	40.1408578290848
148	38.9091649963285
179	36.7989960173765
151	36.7645247590966
170	34.3531923269084
141	34.2092400610495
187	33.881341169139
84	33.3550741029466
3	31.6402427646547
122	29.3871314582013
16	28.8398293423836
47	28.3141497865715
107	28.2989288682485
146	28.1106916475965
14	27.8009991620338
88	27.2361794654808
119	25.9821149956952
108	25.967918540517
22	25.4417187285599
111	25.3663056543209
70	24.7195106451486
82	24.5156496860976
127	23.3590841735361
8	22.4584362457305
139	22.2313800511272
76	22.2065653862609
125	21.0463907378652
40	20.9135181360763
93	20.5283569371422
12	20.3968956304253
137	20.3394754238824
104	20.2421507552035
48	20.2070335547319
42	20.1624016428759
216	19.854071671599
202	19.7972182197679
185	19.3973764533309
1	19.1732026141283
87	18.8855180321452
147	18.3119546245807
23	17.2133967271763
110	16.9082821517778
120	16.4223286810901
6	16.3689095050037
41	16.1507868052993
63	15.6879120080163
100	15.4105558840658
145	15.2979376300518
18	15.2271307137362
56	15.1950919794149
46	15.0288713980034
105	14.3477204780034
59	13.5123197715255
45	13.0143308939592
113	12.2309930603438
60	11.6750041304866
62	11.6089813423673
90	11.2153186634791
212	10.871430894745
21	10.3187954015736
165	10.2287617961342
89	10.052482432615
81	9.93810174404019
86	9.80109865794773
123	9.64935047553853
30	9.57743114199168
142	9.287338377399
138	9.1332490563766
31	8.4930469826663
130	8.00070053773999
15	7.81858596902958
83	7.74056299783752
57	7.60584034482208
99	7.34154577730057
101	7.30549936436728
61	7.09159078129225
71	7.07684888549609
54	6.65230499921466
133	6.50942203264275
159	6.46977186089368
98	5.98419702989721
28	5.73851271413541
102	5.64223269804849
143	5.59176041515325
77	5.56469884348153
158	5.46237565851133
149	5.45112174374621
109	5.42428568496531
195	5.28656326838221
51	5.16553756717984
26	4.99683169021933
44	4.90914832962316
80	4.64511073429574
33	4.61674431948801
66	4.60089719211019
19	4.31452074994571
96	4.25048426743488
67	4.17986793813242
167	3.96474819021085
73	3.89456031435725
162	3.88448914658808
20	3.87224455366563
169	3.67227325617931
171	3.65677482896718
214	3.59039867605418
136	3.51868518329894
17	3.45074981661385
52	3.3664180363183
222	3.23705925004918
97	3.22718362997773
153	3.212214077192
180	3.05170374946414
79	2.98532182881272
4	2.97218519981143
190	2.82311475029546
129	2.75514318747542
173	2.51590546657487
55	2.50105700118539
9	2.38589388666872
217	2.30969987868624
72	2.14292800717964
166	2.09672911948823
95	2.09166347118431
11	1.920346632783
176	1.8927287954
175	1.88553828461791
58	1.78953798853778
68	1.66973956459802
160	1.65714170401246
92	1.521926575189
35	1.48763623109742
112	1.35304077604164
53	1.08034873532376
37	0.707953598365114
210	0.705978395721365
181	0.446544110784803
50	0.360195393050778
85	0.267542233260693
64	0.176861266218483
94	0.110171520075349
172	0.0197982466197841
103	0.00520639727630174
121	0
