variable	node_purity_increase
36	321.74357601552
161	320.74568698881
155	133.417396046098
84	121.134574215139
119	102.421185472899
148	100.855630417252
2	55.9377070038243
177	48.2154826258357
43	44.1563911582888
56	42.6805061159264
counts	37.2628637942769
47	36.3740710272246
199	34.9896809902877
122	30.6420544846587
141	28.2103183935085
108	26.6961334424872
42	23.4529815337139
170	22.7718801080982
187	22.3095464839602
24	21.9611847656251
151	21.1977073003029
7	21.1177244666507
49	21.1012103250168
111	20.1251989960457
81	18.4949357248531
74	17.5074187908695
179	17.1750785238935
16	16.956438760005
146	16.6499411238449
30	16.1714106369055
115	15.7093304838682
145	14.892060579248
48	14.8806286982783
12	14.8523002263356
185	14.8078074788528
45	13.5725346576558
147	13.1199002829506
137	13.1069736204192
8	13.0389193899792
3	12.963430503172
88	12.4101504232644
5	12.2758193250168
22	11.9545258651058
90	11.9165811222584
6	11.3161502313997
70	11.3102692101974
1	11.2018308288613
63	11.0598402748583
89	10.9237451391282
138	10.6393809987405
29	10.1596395928231
18	10.1466145613798
93	10.0394798499907
23	9.99637933944494
59	9.90746431208038
158	9.90175884709207
15	9.86436671450696
76	9.68931484057422
14	9.52900876331461
28	9.41834869891405
104	9.17866100315882
46	9.10346130877982
107	9.01276923223287
40	8.9958269797658
69	8.83760620560113
41	8.64353102738919
195	8.58881287404799
21	8.51325277787231
120	8.39650879397992
101	8.27775879936519
142	7.95040425986548
143	7.93737797137044
125	7.860313314375
87	7.81678289784106
110	7.74020588718997
123	7.51229380162196
127	7.38929210304237
202	6.91859966924807
165	6.78297443326791
216	6.67237334735631
86	6.35699833617953
100	6.31238258738932
58	6.07779914642734
139	6.04657232581681
130	5.98824748672348
82	5.90608304544532
57	5.87681946216471
105	5.73908372753799
162	5.68567934489903
62	5.29118941423646
52	4.97409223176252
33	4.77874206834961
19	4.70933295553896
113	4.61873279348724
212	4.6037141887436
79	4.58578462098573
31	4.47254490600661
133	4.44063309911859
80	4.36722091452889
102	4.11664947083181
20	3.92380852155279
66	3.84610957043497
169	3.7271881882542
61	3.71582098426699
171	3.33006420471813
26	3.2985336571605
98	3.2688448459511
44	3.26829186851915
67	3.22382674101385
11	3.18431690772896
17	3.14153816614266
53	3.07104514503023
180	2.95256499480825
54	2.9183617919993
159	2.80628751528156
222	2.80539340304867
51	2.78486764366955
83	2.77158802305529
136	2.6435604784534
35	2.50123947728897
149	2.3645675112179
72	2.35724067001212
96	2.34574528360825
4	2.31846517350923
37	2.3054926782046
73	2.18221029436876
167	2.10551302581369
160	2.10518305370828
9	1.94343153571971
60	1.85296259647242
166	1.7612705844067
71	1.69571825970192
217	1.62311256633112
77	1.61390665742131
214	1.59930321862154
55	1.5716994043287
129	1.57049698752403
112	1.38606227229857
176	1.23669361216961
97	1.19973739915402
68	1.1851915043417
95	1.09661762000085
153	1.08588645337018
92	0.944202708142198
190	0.939365720172539
109	0.892580668538885
99	0.689713544286295
173	0.361647409409665
175	0.333575401558615
181	0.258517085717078
85	0.168797976538167
210	0.0974473655424726
94	0.0917119630465204
64	0.0593422805451016
172	0.0186026456718344
50	0.0161490526510197
103	0.00236663798203256
121	0
