# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 355
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:19:32,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
12	0.357715453166264	0.0101034756610296	0.0026160889470242	0.00748738671400542	1	1	1	5	2	6	0	0	1	5	0	5	0	0	1	5	0	6	ASV_587	ASV_324	4	1525	1529
13	0.351624646457881	0.0101688778847052	0.0026160889470242	0.00755278893768103	3	7	1	1	4	8	0	0	5	1	0	5	0	0	7	1	0	8	ASV_333	ASV_320	4	1525	1529
14	0.349766275862323	0.0106593945622723	0.0026160889470242	0.00804330561524806	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_176	ASV_533	4	1525	1529
15	0.344421238391155	0.0113134167990283	0.00327011118378025	0.00804330561524806	1	1	1	16	2	16	0	0	1	16	2	15	0	0	1	16	1	15	ASV_949	ASV_15	5	1524	1529
16	0.343886260747175	0.0123411660282164	0.0039241334205363	0.00841703260768009	1	8	1	2	2	9	0	0	8	2	2	7	0	0	8	2	1	8	ASV_13	ASV_395	6	1523	1529
17	0.337129989108768	0.0129951882649724	0.00457815565729235	0.00841703260768009	1	3	1	1	2	3	0	0	3	1	2	2	0	0	3	1	1	2	ASV_20	ASV_269	7	1522	1529
18	0.335764142433652	0.0136492105017285	0.0052321778940484	0.00841703260768009	1	1	1	6	2	6	0	0	1	6	2	5	0	0	1	6	1	5	ASV_862	ASV_441	8	1521	1529
19	0.335737246183319	0.0141397271792955	0.0052321778940484	0.00890754928524713	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_907	ASV_503	8	1521	1529
20	0.33565806082197	0.0146302438568626	0.0052321778940484	0.00939806596281417	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_599	ASV_694	8	1521	1529
21	0.334886851577847	0.0150662586813666	0.0052321778940484	0.0098340807873182	1	1	1	3	2	4	0	0	1	3	0	3	0	0	1	3	0	4	ASV_257	ASV_456	8	1521	1529
