# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 198
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:18:45,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
32	0.333304818116522	0.0747076023391813	0.0159958720330237	0.0587117303061577	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_547	ASV_238	11	635	646
33	0.333290578369523	0.0754815961472309	0.0159958720330237	0.0594857241142072	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1009	ASV_1353	11	635	646
34	0.333289756671687	0.0762555899552804	0.0159958720330237	0.0602597179222567	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_520	ASV_539	11	635	646
35	0.333274496168283	0.0778035775713795	0.0159958720330237	0.0618077055383558	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_733	ASV_978	11	635	646
36	0.333268778482079	0.0793515651874786	0.0159958720330237	0.0633556931544549	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_730	ASV_438	11	635	646
37	0.333211779872999	0.0801255589955281	0.0159958720330237	0.0641296869625044	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_600	ASV_936	11	635	646
38	0.333200100924078	0.0808995528035776	0.0159958720330237	0.064903680770554	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_1009	ASV_372	11	635	646
39	0.333106012741933	0.0816735466116272	0.0159958720330237	0.0656776745786035	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1063	ASV_39	11	635	646
40	0.332866447724221	0.0832215342277263	0.0159958720330237	0.0672256621947026	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1390	ASV_642	11	635	646
41	0.332806976361963	0.0839955280357758	0.0159958720330237	0.0679996560027521	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_730	ASV_744	11	635	646
