variable	mse_increase
120	0.794047008998851
58	0.198867883208111
137	0.179381774005532
37	0.164358006867645
59	0.14218519745135
165	0.133634757611729
125	0.127028022728338
111	0.108732391285675
36	0.104836188457591
66	0.103040967306432
138	0.0886201850932883
86	0.0857337202645343
counts	0.0648969942838243
57	0.0648810794797122
143	0.0636905196319401
53	0.0562755836114844
149	0.0559947721234463
80	0.0518318329705194
41	0.0512791099360442
26	0.0458224179827085
49	0.0413900993225162
51	0.0391415518245685
119	0.0382676082350746
89	0.0361056229562666
7	0.0345029927580972
48	0.0317998103522153
28	0.0301926604685191
56	0.0300229230809646
104	0.0297488231403943
1	0.0292838714895822
74	0.0229037906912183
23	0.0227806575197872
155	0.022490024292416
90	0.021959742587775
22	0.0212925011301315
122	0.0200122333605281
177	0.0196952078947035
24	0.0188603542383055
40	0.0186263932595576
147	0.0181994677941966
5	0.0179935079743112
68	0.0158273754578799
173	0.0158132777103858
214	0.0154066407745394
47	0.0130275541835862
171	0.0123710400645272
64	0.0116512464845387
83	0.0116098130300905
139	0.0114932291093809
31	0.0114255312846278
161	0.0113714798753932
21	0.0112133086222456
153	0.0112128530162512
81	0.010943415187591
20	0.0107558921663827
14	0.0105985562468668
210	0.0104012435452685
142	0.0101857722401397
146	0.0100615605124254
160	0.00950470806117166
35	0.00937731168703286
16	0.00906638880652368
3	0.00900776790306949
45	0.00894001715930952
52	0.00860999935779042
92	0.00837556253517249
172	0.00814293620712071
102	0.00807832938475114
212	0.00798788915961268
29	0.00778297770826392
98	0.00731233202569592
93	0.00724928667724657
175	0.00674801388067535
70	0.00654896885710911
216	0.00646152399208119
18	0.00616277757760985
148	0.00595614346482481
44	0.00549426460462135
113	0.004421694972863
176	0.00433801612455959
130	0.00429131082083836
121	0.00409493208535623
46	0.00404196538602338
97	0.00403514248593999
129	0.00373797429573271
6	0.00349694357395387
12	0.00342146472491578
151	0.00336427447070502
123	0.00327671533550237
162	0.00318313301567279
88	0.00308161198535132
169	0.00278113181112023
43	0.00277327419625841
30	0.00270438611829293
166	0.00259649806717252
72	0.00243136836069021
61	0.00233224425470069
8	0.00220573290201608
62	0.00205137614258476
100	0.00203859566945927
202	0.00186067608318168
96	0.00172342673886505
82	0.00169862211365981
195	0.00163611019342128
60	0.00159649959877774
55	0.00158507710066879
180	0.00157883237379955
103	0.0015742052680149
159	0.00153682247383823
167	0.00147416325416225
133	0.00143416514719039
87	0.0014085491539624
94	0.00140335532474267
185	0.00133537385343276
170	0.00122772994576577
77	0.00115227408435269
179	0.00111642950833105
19	0.00102154126769194
71	0.000986295256890811
95	0.000967790200298572
76	0.000731456197350424
67	0.000700101452736317
17	0.000687905304932681
54	0.000575864390496596
73	0.000494416354214387
115	0.000486739518871737
105	0.000461151401083881
2	0.000426483675882625
4	0.00036838835730022
63	0.000354881801236608
11	0.00034412300510402
9	0.000308178842242277
109	0.000298293703404734
145	0.000297259476555864
222	0.000239880436195801
112	0.00021654414905843
107	0.000202407985689914
69	0.000155538352002651
108	0.000138848956553474
141	0.000106740923917206
85	0.000105434194395948
181	5.31438961338636e-05
158	5.30165500194056e-05
101	5.20913413697706e-05
110	3.91949451945777e-05
224	7.43254545627591e-06
42	-4.53699373529986e-06
50	-3.48356573039799e-05
79	-5.31076714571373e-05
190	-0.000202076791462137
199	-0.000313119636113086
15	-0.000358792472292334
33	-0.000383543118826836
136	-0.000423293117050013
84	-0.000446059381258155
187	-0.00049225920956983
217	-0.000576355236985991
127	-0.000690326464081864
99	-0.00106788807110725
