variable	node_purity_increase
36	306.904964504435
161	243.238666603349
151	197.160629931998
187	110.553776214498
155	94.7909883655031
108	92.3411657204423
counts	83.3574316900375
2	78.6211126555076
148	74.5638982735965
179	69.9876626576876
43	67.868895907405
16	62.8241840490474
119	57.0449570777806
177	55.4843824088165
42	51.9325619863519
12	50.4604872416672
146	48.5617454613308
49	46.0902159944253
115	45.1321583033579
24	43.768718314152
61	42.8441225977648
56	42.1461219777525
84	41.0666581811266
199	40.6835564452402
5	40.5055792494189
122	38.356128523199
74	34.1831737279712
137	33.744884167245
141	33.6164622925734
47	29.475101238216
7	27.802593086824
111	27.2031709299306
170	26.0302881199333
70	25.2549503410815
145	22.9919767977506
3	21.5833309066541
100	20.6701447536974
89	20.5640924621188
88	20.0454780765259
159	19.2553963243429
1	18.9576980769655
8	18.3242918269392
28	17.9914560942313
6	17.8991244471308
110	17.7505061309937
120	17.3630980049356
81	17.1359073261402
30	16.9538636223399
22	16.6950261892723
123	16.6890747426827
138	16.537409546417
185	16.3959461140498
202	16.1609035321902
93	15.6872894393913
31	15.2769368268757
90	15.2560643243182
29	15.2196938784616
105	15.1959666655398
63	15.0965530219063
48	15.0711921724895
21	14.214126800094
69	14.2129684772998
19	14.0095312239477
86	13.9937723221945
23	13.5069955405422
46	13.4853811178229
127	13.3334632904494
14	13.2736358613935
107	13.1606072520959
147	13.1575368236719
158	12.5812732268266
216	11.9809386333114
40	11.7229821523487
142	11.5943302144466
165	11.2020483884906
104	11.0937534886395
76	10.9741647642252
87	10.8570480965959
66	10.7516840724619
143	10.4042049870487
54	10.1957056945906
18	9.85380214830656
79	9.57064263410341
15	9.2056999464461
33	9.06855424775155
45	8.84298789746611
139	8.31680136140229
41	8.11420366695943
82	8.11305946528681
125	7.72764879928331
62	7.62913434718457
180	7.43838368212677
101	7.23752363909202
57	6.80218722615582
67	6.76494088364725
222	6.72378901430688
80	6.6856656824902
59	6.62049808668235
102	6.49147359127379
149	6.20950538383004
195	6.12126218555479
171	6.11227509094927
133	5.86188229089269
52	5.57407425593126
98	5.39002876275966
4	5.30584206215157
44	5.25665261217355
130	5.23530786022918
51	5.23415403711296
169	4.96853333222437
20	4.92331806819301
113	4.86848443929814
217	4.82464925699457
55	4.69199391241486
11	4.65963430444723
97	4.46093491619846
109	4.40247419554532
35	4.25731344505336
160	4.21467594286622
9	4.21292984994013
73	4.1932397791305
58	4.08017002738204
92	4.00529873397612
212	3.96830480115003
129	3.9377149972804
83	3.82586964557667
72	3.75630559288168
26	3.72337148016991
162	3.46428107596538
190	3.39695415098716
60	3.09079358225488
136	2.97421104803235
37	2.96413853654829
53	2.95205590547836
96	2.59388054272497
167	2.55689151427372
112	2.51359896685061
214	2.39650575833718
181	2.24802945214103
166	1.85245532352321
77	1.85010723446449
95	1.81598069878648
153	1.67342624502098
71	1.63295976164784
68	1.34652100438927
176	1.21148090420862
17	1.00036264126957
99	0.788878111845756
173	0.724292915839594
210	0.530413416744661
175	0.471846430696745
85	0.333033578213069
172	0.191575111310894
64	0.0980471935374574
94	0.0469392457419727
50	0.0287438675782599
103	0.00314464876866968
121	0
