variable	mse_increase
ASV_24	0.91734698614043
ASV_29	0.811031762681613
ASV_373	0.384213215436967
ASV_44	0.359495609552126
ASV_80	0.351759500588939
ASV_23	0.31624485188548
ASV_107	0.296954665713717
ASV_9	0.225631682740396
ASV_28	0.205701459361192
ASV_58	0.179703213474355
ASV_30	0.177110061516422
ASV_15	0.138524837960155
ASV_1	0.128893723998774
ASV_21	0.114924515129195
ASV_42	0.072475293321823
ASV_16	0.0665836738201511
ASV_32	0.0659583990892309
ASV_18	0.0619906862120712
ASV_112	0.0576512407048507
ASV_202	0.0573126752563254
ASV_4	0.0552342926501773
ASV_39	0.0538841369212873
ASV_61	0.0535890385625553
counts	0.0534739404176701
ASV_25	0.0532220840022416
ASV_50	0.0511461056685093
ASV_17	0.0492490018197514
ASV_68	0.0488890635140677
ASV_6	0.0459103109859864
ASV_92	0.0446812048764769
ASV_65	0.0429508098948107
ASV_274	0.0427746477565363
ASV_54	0.0371862724428453
ASV_66	0.0367454857393914
ASV_45	0.0361113744860582
ASV_79	0.035904752755206
ASV_2	0.0353834932453511
ASV_63	0.0346257206941822
ASV_270	0.0342449292982101
ASV_51	0.034069346159445
ASV_60	0.0339508070445019
ASV_14	0.0336146990621581
ASV_41	0.0329218811981325
ASV_11	0.0324479342983557
ASV_10	0.0313531480455843
ASV_3	0.0302362442072477
ASV_124	0.0273142732654471
ASV_104	0.0268693936506766
ASV_86	0.0242808676702142
ASV_5	0.0237488709372722
ASV_37	0.0231098814822645
ASV_35	0.0228090828645262
ASV_22	0.0219047861550079
ASV_738	0.0210567428117554
ASV_26	0.0206999256715725
ASV_250	0.0203103068180529
ASV_115	0.0199142635607575
ASV_81	0.0198407665024076
ASV_13	0.0195046119092439
ASV_106	0.0192537470975632
ASV_674	0.0160978334750411
ASV_7	0.01599799604446
ASV_125	0.0155000010636606
ASV_380	0.0143966142254645
ASV_84	0.0141364147002139
ASV_383	0.0141296440312511
ASV_52	0.0137713390974397
ASV_116	0.0136887074574736
ASV_100	0.0132462727310623
ASV_101	0.0131871851424195
ASV_98	0.0126804422321409
ASV_541	0.0125156941634764
ASV_57	0.01241860825605
ASV_62	0.0118088501605741
ASV_46	0.0115008337172196
ASV_48	0.0111354190386392
ASV_19	0.011065208226178
ASV_8	0.0109528739163681
ASV_43	0.0105825885034787
ASV_208	0.0104804721667808
ASV_34	0.0102206017727765
ASV_67	0.0102061944054177
ASV_144	0.0101653448588817
ASV_27	0.0101351979736571
ASV_49	0.0096275520063377
ASV_55	0.00952127696132782
ASV_83	0.00887452176159372
ASV_31	0.00884008921491436
ASV_53	0.0088394024541344
ASV_38	0.00839989714153561
ASV_303	0.00830058777948076
ASV_156	0.00823871998023722
ASV_71	0.00819858810296937
ASV_653	0.00818197932446943
ASV_1068	0.0081532762053023
ASV_1058	0.00797913834651636
ASV_370	0.00770551341874043
ASV_110	0.00728306764914898
ASV_59	0.00708606785827168
ASV_85	0.00696591401277963
ASV_117	0.00695270179619053
ASV_304	0.00693594165602791
ASV_494	0.00688818869262478
ASV_109	0.00677999867752293
ASV_172	0.00665946090374468
ASV_91	0.00658381089006138
ASV_255	0.00636768064253544
ASV_120	0.00631682899482233
ASV_160	0.00630769052698019
ASV_685	0.00614586611965644
ASV_145	0.00602555361615303
ASV_139	0.00576711916541268
ASV_173	0.0057349096166184
ASV_419	0.0056570044403214
ASV_1115	0.00556485278758366
ASV_132	0.00534571284499492
ASV_123	0.00524641148523851
ASV_90	0.00505517588332455
ASV_226	0.00504636897331625
ASV_73	0.00504178035064915
ASV_161	0.00488439523017526
ASV_757	0.00483251067684203
ASV_212	0.00479500903614866
ASV_122	0.00478501774945183
ASV_298	0.00475555852921238
ASV_70	0.00464739870571239
ASV_155	0.00463377949822012
ASV_153	0.00463233690987713
ASV_137	0.00459397286976558
ASV_95	0.00456324957801819
