variable	node_purity_increase
ASV_29	425.307137464068
ASV_24	420.38819995466
ASV_23	171.470770846964
ASV_9	159.355500744949
ASV_44	158.674362899483
ASV_107	124.695622387082
ASV_80	112.943005950495
ASV_373	107.923244551038
ASV_28	97.0348328470147
ASV_30	78.1232023517121
ASV_42	58.3365275895958
ASV_58	56.0748733026486
ASV_18	55.1612510707954
ASV_25	49.7240567001257
ASV_15	49.3439498440508
ASV_1	48.1440087790726
ASV_21	38.5714784046795
counts	38.2951415045224
ASV_202	36.5854707168725
ASV_17	36.0733152861974
ASV_32	35.3359517897076
ASV_4	32.7274034664543
ASV_61	32.2167135632089
ASV_16	31.64238690819
ASV_68	28.8774136127223
ASV_112	28.2987283436809
ASV_51	27.5419584359003
ASV_50	26.159665865592
ASV_380	25.8341474450018
ASV_65	25.766423787614
ASV_2	24.5388254896922
ASV_39	24.2797734574657
ASV_79	23.2183978601784
ASV_3	22.3782227017387
ASV_92	21.447309075189
ASV_19	20.6732845450686
ASV_54	19.72187435828
ASV_5	19.6413668089406
ASV_66	19.0574922240774
ASV_110	18.9513669098761
ASV_14	18.7551594288031
ASV_60	18.732158795212
ASV_738	18.2855354015581
ASV_81	18.1856486707465
ASV_270	18.069384658012
ASV_8	18.0291702135445
ASV_38	17.1666897140781
ASV_45	16.0571356282729
ASV_1058	15.9712343938668
ASV_22	15.7519844122506
ASV_6	15.7436170898572
ASV_124	15.652192450426
ASV_104	15.330081531448
ASV_67	15.0633095852467
ASV_41	15.0082631325818
ASV_274	15.0058566722918
ASV_35	14.7598740583578
ASV_7	14.4941550822663
ASV_49	14.4722422084203
ASV_10	14.3788770648194
ASV_653	14.3358874725054
ASV_250	14.20552004401
ASV_11	14.1959316986735
ASV_26	13.8659052055317
ASV_116	13.7153255507853
ASV_59	13.3863181888102
ASV_37	12.5560036431185
ASV_86	12.3953863216522
ASV_62	12.3938723055356
ASV_674	12.1986039017102
ASV_98	12.1574241357987
ASV_117	11.7120303259575
ASV_43	11.4411378910079
ASV_57	11.4177043804286
ASV_125	11.2242839825455
ASV_304	11.1355430387288
ASV_132	11.0138311237362
ASV_53	10.7215913823857
ASV_63	10.6967800322912
ASV_84	10.5176806416005
ASV_396	10.3617539693217
ASV_48	10.2172462130432
ASV_55	10.1552551091388
ASV_34	10.1109093321666
ASV_1115	9.85142772767008
ASV_13	9.74973480716899
ASV_1068	9.66185644855439
ASV_123	9.51704647329206
ASV_76	9.38602586630552
ASV_27	9.21652160586004
ASV_541	9.12097096516057
ASV_153	9.06100905543264
ASV_31	9.00987275005282
ASV_419	8.99888305574551
ASV_519	8.92231664793193
ASV_52	8.7066069734188
ASV_302	8.70442336324374
ASV_106	8.26900684175197
ASV_115	8.25733256862535
ASV_374	8.12048061549356
ASV_145	8.0159315845745
ASV_89	7.99098384196954
ASV_212	7.96626205759462
ASV_85	7.80303021073388
ASV_157	7.75094146755562
ASV_155	7.67511670228911
ASV_109	7.5034810602868
ASV_446	7.48715049961858
ASV_75	7.4368337370265
ASV_97	7.4007497362463
ASV_196	7.36011869146659
ASV_171	7.31542006597961
ASV_137	7.11061576329143
ASV_46	7.05789878561311
ASV_144	6.98193478997771
ASV_900	6.6731770559905
ASV_224	6.63924308244025
ASV_172	6.62336388043364
ASV_122	6.54649176194439
ASV_303	6.54187762543361
ASV_100	6.5032345571942
ASV_370	6.46649142411649
ASV_165	6.46594444822875
ASV_70	6.42986556409822
ASV_329	6.42652023293648
ASV_101	6.36646688189773
ASV_284	6.23890437385278
ASV_103	6.2240600540384
ASV_160	6.20932336883146
ASV_87	6.19467108442298
ASV_719	6.12856358617911
ASV_96	5.99158723274877
ASV_83	5.96673793819123
