# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:52:4,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
31	0.333052950749541	0.0215410788252515	0.0052321778940484	0.0163089009312031	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_377	ASV_867	8	1521	1529
32	0.33303855869293	0.0218680899436295	0.0052321778940484	0.0166359120495811	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_983	ASV_917	8	1521	1529
33	0.332697745813469	0.0225221121803856	0.0052321778940484	0.0172899342863372	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_583	ASV_635	8	1521	1529
34	0.332297301553094	0.0231761344171416	0.0052321778940484	0.0179439565230932	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_995	ASV_420	8	1521	1529
35	0.3322781714667	0.0235031455355197	0.0052321778940484	0.0182709676414713	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_377	ASV_216	8	1521	1529
36	0.332029138872727	0.0238301566538977	0.0052321778940484	0.0185979787598493	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_629	ASV_603	8	1521	1529
37	0.331953183288142	0.0249201937151578	0.0052321778940484	0.0196880158211094	1	2	1	3	2	5	0	0	2	3	0	3	0	0	2	3	0	5	ASV_699	ASV_476	8	1521	1529
38	0.331855154905497	0.0252472048335358	0.0052321778940484	0.0200150269394874	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_508	ASV_806	8	1521	1529
39	0.331779539107152	0.0259012270702918	0.0052321778940484	0.0206690491762434	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_543	ASV_432	8	1521	1529
40	0.331622409445784	0.0272862153363635	0.00588620013080445	0.021400015205559	1	12	1	9	2	20	0	0	12	9	2	17	0	0	12	9	1	19	ASV_125	ASV_91	9	1520	1529
41	0.331208500922382	0.0276132264547415	0.00588620013080445	0.0217270263239371	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_277	ASV_589	9	1520	1529
42	0.33116935577294	0.0282672486914976	0.00588620013080445	0.0223810485606931	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1214	ASV_471	9	1520	1529
