# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 4, 6, 2024, and time: 5:42:44,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
32	0.333309410028142	0.0755866114561765	0.0191511387163561	0.0564354727398205	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_792	ASV_582	13	631	644
33	0.333304818116522	0.0771394064872324	0.0191511387163561	0.0579882677708764	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_238	ASV_547	13	631	644
34	0.333290578369523	0.0779158040027603	0.0191511387163561	0.0587646652864043	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_880	ASV_1353	13	631	644
35	0.333289756671687	0.0786922015182883	0.0191511387163561	0.0595410628019323	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_520	ASV_539	13	631	644
36	0.333274496168283	0.0802449965493442	0.0191511387163561	0.0610938578329882	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_978	ASV_733	13	631	644
37	0.333268778482079	0.0817977915804001	0.0191511387163561	0.0626466528640441	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_438	ASV_730	13	631	644
38	0.333211779872999	0.082574189095928	0.0191511387163561	0.063423050379572	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_936	ASV_600	13	631	644
39	0.333200100924078	0.0833505866114559	0.0191511387163561	0.0641994478950999	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_372	ASV_880	13	631	644
40	0.333106012741933	0.0841269841269839	0.0191511387163561	0.0649758454106279	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_39	ASV_728	13	631	644
41	0.332866447724221	0.0856797791580398	0.0191511387163561	0.0665286404416838	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1390	ASV_642	13	631	644
42	0.332806976361963	0.0864561766735677	0.0191511387163561	0.0673050379572117	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_744	ASV_438	13	631	644
43	0.332790407497096	0.0880089717046236	0.0191511387163561	0.0688578329882676	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1202	ASV_57	13	631	644
44	0.332652384910184	0.0895617667356795	0.0191511387163561	0.0704106280193235	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_375	ASV_681	13	631	644
45	0.332516799016258	0.0911145617667354	0.0191511387163561	0.0719634230503794	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_852	ASV_619	13	631	644
46	0.332215167614037	0.0918909592822633	0.0191511387163561	0.0727398205659073	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_238	ASV_1368	13	631	644
47	0.331923367086341	0.0926673567977913	0.0191511387163561	0.0735162180814353	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_396	ASV_321	13	631	644
48	0.331690806755161	0.0926673567977913	0.0191511387163561	0.0735162180814353	2	2	4	4	6	6	0	0	1	1	0	1	0	0	2	4	0	6	ASV_1202	ASV_372	13	631	644
49	0.331431722124881	0.0934437543133192	0.0191511387163561	0.0742926155969632	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_936	ASV_572	13	631	644
50	0.331092768188315	0.0949965493443751	0.0191511387163561	0.0758454106280191	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_271	ASV_580	13	631	644
