# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 214
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:54:12,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
32	0.333315433080852	0.0761265909872722	0.0190918472652219	0.0570347437220503	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1441	ASV_1454	13	633	646
33	0.333309410028142	0.0776745786033712	0.0190918472652219	0.0585827313381494	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_582	ASV_792	13	633	646
34	0.333304818116522	0.0792225662194703	0.0190918472652219	0.0601307189542484	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_238	ASV_547	13	633	646
35	0.333290578369523	0.0799965600275199	0.0190918472652219	0.060904712762298	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1009	ASV_1353	13	633	646
36	0.333289756671687	0.0807705538355694	0.0190918472652219	0.0616787065703475	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_50	ASV_539	13	633	646
37	0.333284826123918	0.0823185414516685	0.0190918472652219	0.0632266941864466	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_438	ASV_442	13	633	646
38	0.333274496168283	0.0838665290677676	0.0190918472652219	0.0647746818025457	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_733	ASV_978	13	633	646
39	0.333211779872999	0.0846405228758171	0.0190918472652219	0.0655486756105952	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_936	ASV_600	13	633	646
40	0.333200100924078	0.0854145166838666	0.0190918472652219	0.0663226694186447	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_372	ASV_1009	13	633	646
41	0.333188615731055	0.0861885104919162	0.0190918472652219	0.0670966632266943	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_730	ASV_438	13	633	646
42	0.333106012741933	0.0869625042999657	0.0190918472652219	0.0678706570347438	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_39	ASV_1063	13	633	646
43	0.333097781260654	0.0877364981080153	0.0190918472652219	0.0686446508427934	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_50	ASV_751	13	633	646
44	0.333008747000025	0.0892844857241143	0.0190918472652219	0.0701926384588924	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_761	ASV_1241	13	633	646
45	0.332877897581724	0.0908324733402134	0.0190918472652219	0.0717406260749915	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_917	ASV_729	13	633	646
46	0.332866447724221	0.0923804609563125	0.0190918472652219	0.0732886136910906	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_642	ASV_1390	13	633	646
47	0.332790407497096	0.0939284485724116	0.0190918472652219	0.0748366013071897	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_57	ASV_1202	13	633	646
48	0.332652384910184	0.0954764361885106	0.0190918472652219	0.0763845889232887	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_375	ASV_681	13	633	646
49	0.332607470542618	0.0962504299965602	0.0190918472652219	0.0771585827313383	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_730	ASV_744	13	633	646
50	0.332516799016258	0.0977984176126593	0.0190918472652219	0.0787065703474373	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_619	ASV_852	13	633	646
51	0.332215167614037	0.0985724114207088	0.0190918472652219	0.0794805641554869	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_238	ASV_1368	13	633	646
52	0.331923367086341	0.0993464052287583	0.0190918472652219	0.0802545579635364	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_396	ASV_321	13	633	646
53	0.331690806755161	0.0993464052287583	0.0190918472652219	0.0802545579635364	2	2	4	4	6	6	0	0	1	1	0	1	0	0	2	4	0	6	ASV_57	ASV_372	13	633	646
54	0.331431722124881	0.100120399036808	0.0190918472652219	0.081028551771586	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_936	ASV_572	13	633	646
55	0.331425218812936	0.101668386652907	0.0190918472652219	0.082576539387685	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_86	ASV_149	13	633	646
56	0.331092768188315	0.103216374269006	0.0190918472652219	0.0841245270037841	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_271	ASV_580	13	633	646
57	0.330979877292906	0.103990368077056	0.0190918472652219	0.0848985208118337	5	5	1	1	6	6	0	0	1	1	0	1	0	0	5	1	0	6	ASV_50	ASV_1052	13	633	646
58	0.330545811798182	0.105538355693155	0.020639834881321	0.0848985208118337	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_409	ASV_182	14	632	646
59	0.330423571000711	0.106312349501204	0.020639834881321	0.0856725146198832	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_375	ASV_237	14	632	646
60	0.33012041238343	0.106312349501204	0.020639834881321	0.0856725146198832	6	6	2	2	8	8	0	0	1	1	0	1	0	0	6	2	0	8	ASV_57	ASV_642	14	632	646
61	0.330060132608598	0.107086343309254	0.020639834881321	0.0864465084279328	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_1387	ASV_238	14	632	646
62	0.329769983198517	0.107860337117303	0.020639834881321	0.0872205022359823	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_936	ASV_592	14	632	646
63	0.329488687367556	0.108634330925353	0.020639834881321	0.0879944960440319	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1075	ASV_473	14	632	646
64	0.328347136657528	0.111730306157551	0.020639834881321	0.09109047127623	1	5	1	7	2	12	0	0	5	7	0	9	0	0	5	7	0	12	ASV_164	ASV_450	14	632	646
65	0.328256831416761	0.11327829377365	0.02218782249742	0.09109047127623	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_578	ASV_10	15	631	646
66	0.328079177819951	0.114826281389749	0.0237358101135191	0.09109047127623	1	1	1	4	2	4	0	0	1	4	2	3	0	0	1	4	1	3	ASV_130	ASV_22	16	630	646
67	0.328026988615834	0.115600275197799	0.0237358101135191	0.0918644650842796	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_633	ASV_619	16	630	646
68	0.32525626684448	0.116374269005848	0.0237358101135191	0.0926384588923291	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_271	ASV_287	16	630	646
69	0.325087163971696	0.118541451668387	0.0237358101135191	0.0948056415548678	1	2	1	5	2	7	0	0	2	5	0	5	0	0	2	5	0	7	ASV_494	ASV_504	16	630	646
70	0.325085957363044	0.119702442380461	0.0237358101135191	0.0959666322669421	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_343	ASV_417	16	630	646
