"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"275","BB23.1",NA,NA,NA,"Rep1",NA,"BB23","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"276","BB23.2",NA,NA,NA,"Rep2",NA,"BB23","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"277","BB23.3",NA,NA,NA,"Rep3",NA,"BB23","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"278","BB23.4",NA,NA,NA,"Rep4",NA,"BB23","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"283","BB25.1",NA,NA,NA,"Rep1",NA,"BB25","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"284","BB25.2",NA,NA,NA,"Rep2",NA,"BB25","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"285","BB25.3",NA,NA,NA,"Rep3",NA,"BB25","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"286","BB25.4",NA,NA,NA,"Rep4",NA,"BB25","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"287","BB26.1",NA,NA,NA,"Rep1",NA,"BB26","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"288","BB26.2",NA,NA,NA,"Rep2",NA,"BB26","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"289","BB26.3",NA,NA,NA,"Rep3",NA,"BB26","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"290","BB26.4",NA,NA,NA,"Rep4",NA,"BB26","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"299","BB29.1",NA,NA,NA,"Rep1",NA,"BB29","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"300","BB29.2",NA,NA,NA,"Rep2",NA,"BB29","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"301","BB29.3",NA,NA,NA,"Rep3",NA,"BB29","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"302","BB29.4",NA,NA,NA,"Rep4",NA,"BB29","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"315","BB35.1",NA,NA,NA,"Rep1",NA,"BB35","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"316","BB35.2",NA,NA,NA,"Rep2",NA,"BB35","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"317","BB35.3",NA,NA,NA,"Rep3",NA,"BB35","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"318","BB35.4",NA,NA,NA,"Rep4",NA,"BB35","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"319","BB40.1",NA,NA,NA,"Rep1",NA,"BB40","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"320","BB40.2",NA,NA,NA,"Rep2",NA,"BB40","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"321","BB40.3",NA,NA,NA,"Rep3",NA,"BB40","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"322","BB40.4",NA,NA,NA,"Rep4",NA,"BB40","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"327","BB52.1",NA,NA,NA,"Rep1",NA,"BB52","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"328","BB52.2",NA,NA,NA,"Rep2",NA,"BB52","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"329","BB52.3",NA,NA,NA,"Rep3",NA,"BB52","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"330","BB52.4",NA,NA,NA,"Rep4",NA,"BB52","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"331","BB57.1",NA,NA,NA,"Rep1",NA,"BB57","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"332","BB57.2",NA,NA,NA,"Rep2",NA,"BB57","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"333","BB57.3",NA,NA,NA,"Rep3",NA,"BB57","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"334","BB57.4",NA,NA,NA,"Rep4",NA,"BB57","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"339","BB60.1",NA,NA,NA,"Rep1",NA,"BB60","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"340","BB60.2",NA,NA,NA,"Rep2",NA,"BB60","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"341","BB60.3",NA,NA,NA,"Rep3",NA,"BB60","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"342","BB60.4",NA,NA,NA,"Rep4",NA,"BB60","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"343","BB61.1",NA,NA,NA,"Rep1",NA,"BB61","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"344","BB61.2",NA,NA,NA,"Rep2",NA,"BB61","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"345","BB61.3",NA,NA,NA,"Rep3",NA,"BB61","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"346","BB61.4",NA,NA,NA,"Rep4",NA,"BB61","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"351","BB66.1",NA,NA,NA,"Rep1",NA,"BB66","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"352","BB66.2",NA,NA,NA,"Rep2",NA,"BB66","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"353","BB66.3",NA,NA,NA,"Rep3",NA,"BB66","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"354","BB66.4",NA,NA,NA,"Rep4",NA,"BB66","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"355","BB88.1",NA,NA,NA,"Rep1",NA,"BB88","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"356","BB88.2",NA,NA,NA,"Rep2",NA,"BB88","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"357","BB88.3",NA,NA,NA,"Rep3",NA,"BB88","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"358","BB88.4",NA,NA,NA,"Rep4",NA,"BB88","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"363","BWd01.1",NA,NA,NA,"Rep1",NA,"BWd01","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"364","BWd01.2",NA,NA,NA,"Rep2",NA,"BWd01","BeechWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"365","BWd01.3",NA,NA,NA,"Rep3",NA,"BWd01","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"366","BWd01.4",NA,NA,NA,"Rep4",NA,"BWd01","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"367","BWd02.1",NA,NA,NA,"Rep1",NA,"BWd02","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"368","BWd02.2",NA,NA,NA,"Rep2",NA,"BWd02","BeechWood","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"369","BWd02.3",NA,NA,NA,"Rep3",NA,"BWd02","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"370","BWd02.4",NA,NA,NA,"Rep4",NA,"BWd02","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"371","BWd03.1",NA,NA,NA,"Rep1",NA,"BWd03","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"372","BWd03.2",NA,NA,NA,"Rep2",NA,"BWd03","BeechWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"373","BWd03.3",NA,NA,NA,"Rep3",NA,"BWd03","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"374","BWd03.4",NA,NA,NA,"Rep4",NA,"BWd03","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"375","BWd04.1",NA,NA,NA,"Rep1",NA,"BWd04","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"376","BWd04.2",NA,NA,NA,"Rep2",NA,"BWd04","BeechWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"377","BWd04.3",NA,NA,NA,"Rep3",NA,"BWd04","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"378","BWd04.4",NA,NA,NA,"Rep4",NA,"BWd04","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"379","BWd05.1",NA,NA,NA,"Rep1",NA,"BWd05","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"380","BWd05.2",NA,NA,NA,"Rep2",NA,"BWd05","BeechWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"381","BWd05.3",NA,NA,NA,"Rep3",NA,"BWd05","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"382","BWd05.4",NA,NA,NA,"Rep4",NA,"BWd05","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"387","BWd07.1",NA,NA,NA,"Rep1",NA,"BWd07","BeechWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"388","BWd07.2",NA,NA,NA,"Rep2",NA,"BWd07","BeechWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"389","BWd07.3",NA,NA,NA,"Rep3",NA,"BWd07","BeechWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"390","BWd07.4",NA,NA,NA,"Rep4",NA,"BWd07","BeechWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"451","LW01.1",NA,NA,NA,"Rep1",NA,"LW01","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"452","LW01.2",NA,NA,NA,"Rep2",NA,"LW01","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"453","LW01.3",NA,NA,NA,"Rep3",NA,"LW01","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"454","LW01.4",NA,NA,NA,"Rep4",NA,"LW01","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"459","LW03.1",NA,NA,NA,"Rep1",NA,"LW03","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"460","LW03.2",NA,NA,NA,"Rep2",NA,"LW03","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"461","LW03.3",NA,NA,NA,"Rep3",NA,"LW03","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"462","LW03.4",NA,NA,NA,"Rep4",NA,"LW03","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"463","LW04.1",NA,NA,NA,"Rep1",NA,"LW04","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"464","LW04.2",NA,NA,NA,"Rep2",NA,"LW04","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"465","LW04.3",NA,NA,NA,"Rep3",NA,"LW04","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"466","LW04.4",NA,NA,NA,"Rep4",NA,"LW04","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"467","LW05.1",NA,NA,NA,"Rep1",NA,"LW05","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"468","LW05.2",NA,NA,NA,"Rep2",NA,"LW05","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"469","LW05.3",NA,NA,NA,"Rep3",NA,"LW05","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"470","LW05.4",NA,NA,NA,"Rep4",NA,"LW05","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"471","LW06.1",NA,NA,NA,"Rep1",NA,"LW06","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"472","LW06.2",NA,NA,NA,"Rep2",NA,"LW06","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"473","LW06.3",NA,NA,NA,"Rep3",NA,"LW06","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"474","LW06.4",NA,NA,NA,"Rep4",NA,"LW06","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"475","LW07.1",NA,NA,NA,"Rep1",NA,"LW07","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"476","LW07.2",NA,NA,NA,"Rep2",NA,"LW07","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"477","LW07.3",NA,NA,NA,"Rep3",NA,"LW07","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"478","LW07.4",NA,NA,NA,"Rep4",NA,"LW07","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"479","LW08.1",NA,NA,NA,"Rep1",NA,"LW08","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"480","LW08.2",NA,NA,NA,"Rep2",NA,"LW08","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"481","LW08.3",NA,NA,NA,"Rep3",NA,"LW08","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"482","LW08.4",NA,NA,NA,"Rep4",NA,"LW08","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"483","LW09.1",NA,NA,NA,"Rep1",NA,"LW09","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"484","LW09.2",NA,NA,NA,"Rep2",NA,"LW09","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"485","LW09.3",NA,NA,NA,"Rep3",NA,"LW09","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"486","LW09.4",NA,NA,NA,"Rep4",NA,"LW09","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"487","LW10.1",NA,NA,NA,"Rep1",NA,"LW10","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"488","LW10.2",NA,NA,NA,"Rep2",NA,"LW10","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"489","LW10.3",NA,NA,NA,"Rep3",NA,"LW10","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"490","LW10.4",NA,NA,NA,"Rep4",NA,"LW10","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"491","LW11.1",NA,NA,NA,"Rep1",NA,"LW11","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"492","LW11.2",NA,NA,NA,"Rep2",NA,"LW11","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"493","LW11.3",NA,NA,NA,"Rep3",NA,"LW11","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"494","LW11.4",NA,NA,NA,"Rep4",NA,"LW11","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"495","LW12.1",NA,NA,NA,"Rep1",NA,"LW12","LongWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"496","LW12.2",NA,NA,NA,"Rep2",NA,"LW12","LongWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"497","LW12.3",NA,NA,NA,"Rep3",NA,"LW12","LongWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"498","LW12.4",NA,NA,NA,"Rep4",NA,"LW12","LongWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"499","OWW01.1",NA,NA,NA,"Rep1",NA,"OWW01","OldWindsorWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"500","OWW01.2",NA,NA,NA,"Rep2",NA,"OWW01","OldWindsorWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"501","OWW01.3",NA,NA,NA,"Rep3",NA,"OWW01","OldWindsorWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"502","OWW01.4",NA,NA,NA,"Rep4",NA,"OWW01","OldWindsorWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"503","OWW02.1",NA,NA,NA,"Rep1",NA,"OWW02","OldWindsorWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"504","OWW02.2",NA,NA,NA,"Rep2",NA,"OWW02","OldWindsorWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"505","OWW02.3",NA,NA,NA,"Rep3",NA,"OWW02","OldWindsorWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"506","OWW02.4",NA,NA,NA,"Rep4",NA,"OWW02","OldWindsorWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"510","OWW04.1",NA,NA,NA,"Rep1",NA,"OWW04","OldWindsorWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"511","OWW04.2",NA,NA,NA,"Rep2",NA,"OWW04","OldWindsorWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"512","OWW04.3",NA,NA,NA,"Rep3",NA,"OWW04","OldWindsorWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"513","OWW04.4",NA,NA,NA,"Rep4",NA,"OWW04","OldWindsorWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"514","OWW05.1",NA,NA,NA,"Rep1",NA,"OWW05","OldWindsorWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"515","OWW05.2",NA,NA,NA,"Rep2",NA,"OWW05","OldWindsorWood","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"516","OWW05.3",NA,NA,NA,"Rep3",NA,"OWW05","OldWindsorWood","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"517","OWW05.4",NA,NA,NA,"Rep4",NA,"OWW05","OldWindsorWood","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"518","OWW06.1",NA,NA,NA,"Rep1",NA,"OWW06","OldWindsorWood","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
