"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"146","AE22.2",NA,NA,NA,"Rep2",NA,"AE22","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"147","AE22.3",NA,NA,NA,"Rep3",NA,"AE22","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"148","AE22.4",NA,NA,NA,"Rep4",NA,"AE22","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"149","AE23.1",NA,NA,NA,"Rep1",NA,"AE23","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"150","AE23.2",NA,NA,NA,"Rep2",NA,"AE23","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"151","AE23.3",NA,NA,NA,"Rep3",NA,"AE23","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"152","AE23.4",NA,NA,NA,"Rep4",NA,"AE23","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"153","AE26.1",NA,NA,NA,"Rep1",NA,"AE26","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"154","AE26.2",NA,NA,NA,"Rep2",NA,"AE26","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"155","AE26.3",NA,NA,NA,"Rep3",NA,"AE26","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"156","AE26.4",NA,NA,NA,"Rep4",NA,"AE26","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"157","AE27.1",NA,NA,NA,"Rep1",NA,"AE27","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"158","AE27.2",NA,NA,NA,"Rep2",NA,"AE27","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"159","AE27.3",NA,NA,NA,"Rep3",NA,"AE27","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"160","AE27.4",NA,NA,NA,"Rep4",NA,"AE27","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
