,sample.id,Tree.type,Inoculation,Basalt,AllTreatments,Concentration..ng.ul.,X260.280,pH.mound,pH.undisturbed,N_avg,C_orgAvg,C_totAvg,R
66,H64,conifer,noninoculated,nobasalt,conifer,31.3,1.9,5.401,5.294,0.44,4.2,4.7,382
67,H65,broadleaf,noninoculated,basalt,broadleafbasalt,41.2,2.03,5.87,5.899,0.48,4.72,5.02,461
68,H66,broadleaf,noninoculated,nobasalt,broadleaf,23.7,1.4,5.458,5.294,0.43,4.13,4.39,325
69,H67,control,control,control,control,85.9,1.86,NA,4.876,0.61,6.09,5.99,356
70,H68,conifer,inoculated,basalt,coniferinoculatedbasalt,58,1.86,5.316,5.358,0.45,4.52,5.15,276
71,H69,broadleaf,inoculated,basalt,broadleafinoculatedbasalt,51.3,1.9,5.454,5.349,0.48,5.02,4.93,361
72,H70,conifer,inoculated,nobasalt,coniferinoculated,48.1,1.91,5.092,5.081,0.54,5.43,6.15,369
73,H71,broadleaf,inoculated,nobasalt,broadleafinoculated,19.8,1.96,5.108,5.211,0.46,4.43,4.64,360
74,H72,conifer,noninoculated,basalt,coniferbasalt,31,1.92,5.165,5.253,0.58,5.97,5.97,326
75,SB,bsource,bsource,bsource,bsource,41.8,1.91,NA,NA,NA,NA,NA,259
76,SS,csource,csource,csource,csource,33.5,1.84,NA,NA,NA,NA,NA,277
