"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","functionInk","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Set","shared name","Stress","TopologicalCoefficient"
"3.376766091051805","0.0","0.296141329614133","0.0","1","6","40","false","ASV_995","51.0","0","1","0","0.9628630298273155","false","0","Final_ASV","ASV_995","0","0.0"
"3.376766091051805","0.0","0.296141329614133","0.0","1","6","40","false","ASV_976","51.0","0","1","0","0.9628630298273155","false","0","Final_ASV","ASV_976","0","0.0"
"3.376766091051805","0.0","0.296141329614133","0.0","1","6","40","false","ASV_945","51.0","0","1","0","0.9628630298273155","false","0","Final_ASV","ASV_945","0","0.0"
"3.376766091051805","0.0","0.296141329614133","0.0","1","6","40","false","ASV_420","51.0","0","1","0","0.9628630298273155","false","0","Final_ASV","ASV_420","0","0.0"
"2.378335949764521","0.08739095951937204","0.42046204620462047","0.042352941176470586","51","5","152","false","partition","14.882352941176471","0","51","0","0.9784635007849294","false","0","Final_Class","partition","190628","0.04069863239413413"
"3.681318681318681","2.6318188742747653E-4","0.27164179104477615","0.3333333333333333","3","7","195","false","partition_Class6","12.0","0","3","0","0.9581043956043956","false","0","Starting-Class","partition_Class6","560","0.3645833333333333"
"3.28414442700157","6.908581307592913E-4","0.3044933078393881","0.0","3","6","163","false","partition_Class5","25.333333333333332","0","3","0","0.9643102433281004","false","0","Starting-Class","partition_Class5","1508","0.3427230046948357"
"3.6012558869701725","0.0","0.2776809067131648","0.0","1","7","37","false","ASV_792","27.0","0","1","0","0.9593553767660911","false","0","Starting-ASV","ASV_792","0","0.0"
"3.6012558869701725","0.0","0.2776809067131648","0.0","1","7","37","false","ASV_582","27.0","0","1","0","0.9593553767660911","false","0","Starting-ASV","ASV_582","0","0.0"
"2.6028257456828885","0.03845978967779378","0.3841978287092883","0.05698005698005698","27","6","13","false","partition_Class3","15.74074074074074","0","27","0","0.9749558477237049","false","0","Starting-Class","partition_Class3","83476","0.056990569905699055"
"4.3029827315541604","0.0","0.23239693542502735","0.0","1","8","181","false","ASV_242","7.0","0","1","0","0.9483908948194663","false","0","Starting-ASV","ASV_242","0","0.0"
"2.858712715855573","0.006141661591965189","0.34980779791323446","0.07692307692307693","13","6","206","false","partition_Class4","18.307692307692307","0","13","0","0.9709576138147566","false","0","Starting-Class","partition_Class4","15178","0.10843373493975904"
"3.304552590266876","0.005616592185325447","0.3026128266033254","0.047619047619047616","7","7","224","false","partition_Class2","10.142857142857142","0","7","0","0.9639913657770801","false","0","Starting-Class","partition_Class2","10606","0.15456674473067916"
"3.0816326530612246","9.97566780619425E-4","0.32450331125827814","0.3333333333333333","4","6","224","false","partition_Class1","29.25","0","4","0","0.9674744897959183","false","0","Starting-Class","partition_Class1","1828","0.2708333333333333"
"3.9576138147566717","0.0","0.25267750892502977","0.0","1","7","173","false","ASV_907","13.0","0","1","0","0.953787284144427","false","0","Final_ASV","ASV_907","0","0.0"
"3.6389324960753533","0.0","0.27480586712683347","0.0","1","7","35","false","ASV_955","27.0","0","1","0","0.9587666797488226","false","0","Final_ASV","ASV_955","0","0.0"
"3.6389324960753533","0.0","0.27480586712683347","0.0","1","7","35","false","ASV_912","27.0","0","1","0","0.9587666797488226","false","0","Final_ASV","ASV_912","0","0.0"
"3.6389324960753533","0.0","0.27480586712683347","0.0","1","7","35","false","ASV_330","27.0","0","1","0","0.9587666797488226","false","0","Starting-ASV","ASV_330","0","0.0"
"4.012558869701727","0.0","0.24921752738654146","0.0","1","7","71","false","ASV_805","11.0","0","1","0","0.9529287676609105","false","0","Starting-ASV","ASV_805","0","0.0"
"3.3437990580847723","4.450046442198984E-5","0.2990610328638498","0.0","2","6","153","false","ASV_562","33.0","0","2","0","0.9633781397174255","false","0","Starting-ASV","ASV_562","272","0.5423728813559322"
"3.596546310832025","0.0","0.2780445220427761","0.0","1","6","153","false","ASV_473","39.0","0","1","0","0.9594289638932496","false","0","Starting-ASV","ASV_473","0","0.0"
"3.596546310832025","0.0","0.2780445220427761","0.0","1","6","153","false","ASV_1075","39.0","0","1","0","0.9594289638932496","false","0","Starting-ASV","ASV_1075","0","0.0"
"3.8540031397174253","0.0","0.2594704684317719","0.0","1","7","140","false","ASV_772","20.0","0","1","0","0.9554062009419152","false","0","Final_ASV","ASV_772","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","109","false","ASV_983","58.0","0","1","0","0.9608516483516484","false","0","Final_ASV","ASV_983","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_880","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_880","0","0.0"
"3.378335949764521","4.071052633492567E-4","0.29600371747211895","0.0","2","6","109","false","ASV_803","35.0","0","2","0","0.9628385007849294","false","0","Starting-ASV","ASV_803","1078","0.5151515151515151"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_642","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_642","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_321","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_321","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","109","false","ASV_263","58.0","0","1","0","0.9608516483516484","false","0","Final_ASV","ASV_263","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_1390","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_1390","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_1353","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_1353","0","0.0"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_1202","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_1202","0","0.0"
"3.434850863422292","0.0","0.29113345521023765","1.0","2","6","22","false","ASV_1083","34.5","0","2","0","0.9619554552590267","false","0","Starting-ASV","ASV_1083","0","0.5149253731343284"
